id,price,weekly_price,monthly_price
87481,$155.00,"$1,200.00","$2,900.00"
87590,$150.00,"$1,050.00","$2,500.00"
87732,$105.00,,
89058,$95.00,$580.00,"$1,800.00"
89121,$100.00,$600.00,
91139,$95.00,,
93287,$134.00,$860.00,"$3,501.00"
93408,$150.00,,"$3,300.00"
94270,$140.00,"$1,065.00","$3,500.00"
94711,$55.00,$370.00,"$1,300.00"
95915,$80.00,,
96037,$109.00,,
97286,$99.00,,
97707,$60.00,$450.00,
97773,$389.00,"$2,234.00","$4,880.00"
97992,$119.00,$800.00,
98322,$180.00,,
101139,$103.00,$721.00,
101682,$50.00,$310.00,$990.00
102527,$206.00,"$1,300.00","$2,800.00"
105210,$130.00,,
106220,$115.00,$800.00,"$2,000.00"
107038,$100.00,,
108025,$60.00,,
108201,$217.00,"$1,625.00","$3,505.00"
108591,$449.00,"$2,490.00",
109161,$120.00,,"$3,000.00"
110322,$150.00,"$1,050.00","$2,200.00"
111270,$60.00,,
112660,$60.00,$400.00,
113011,$45.00,$268.00,$945.00
113114,$41.00,$200.00,$800.00
114543,$95.00,,
115655,$130.00,$890.00,"$2,800.00"
118149,$46.00,$380.00,"$1,200.00"
118731,$49.00,$363.00,"$1,400.00"
119569,$50.00,$250.00,$600.00
120494,$69.00,,$890.00
121893,$109.00,$700.00,"$2,500.00"
122179,$110.00,$600.00,"$2,100.00"
122222,$65.00,,
124104,$33.00,,
124251,$150.00,$785.00,"$2,400.00"
128423,$80.00,$500.00,"$2,000.00"
128796,$88.00,,
130213,$135.00,$900.00,"$3,200.00"
130420,$175.00,"$1,300.00","$5,500.00"
131487,$125.00,,"$3,500.00"
131865,$60.00,$400.00,"$1,500.00"
132533,$52.00,,"$1,300.00"
132994,$90.00,$660.00,"$1,600.00"
136687,$90.00,$720.00,"$1,550.00"
136872,$140.00,$800.00,"$2,500.00"
137112,$90.00,$600.00,"$2,000.00"
137857,$40.00,$250.00,$850.00
138548,$110.00,,"$2,300.00"
139889,$150.00,"$1,000.00",
140211,$50.00,$300.00,$780.00
140355,$67.00,$400.00,
141727,$40.00,$280.00,
142507,$50.00,,
144559,$133.00,$850.00,"$2,400.00"
145473,$190.00,$800.00,
146638,$100.00,$500.00,"$1,300.00"
146926,$120.00,$660.00,
148360,$59.00,,"$1,300.00"
148885,$140.00,,"$2,079.00"
148970,$79.00,$600.00,"$2,000.00"
149159,$120.00,,
149695,$95.00,$700.00,
149959,$120.00,$800.00,"$2,500.00"
150751,$180.00,"$1,200.00","$3,500.00"
150800,$40.00,,
151020,$97.00,$650.00,"$1,800.00"
151898,$55.00,$550.00,
151935,$91.00,,"$2,500.00"
153190,$128.00,$850.00,"$2,600.00"
153674,$80.00,$475.00,"$1,601.00"
154292,$65.00,$400.00,
154984,$40.00,,
155072,$40.00,,
155540,$70.00,$580.00,"$1,950.00"
156309,$80.00,$350.00,"$1,300.00"
156649,$89.00,,
157240,$50.00,$385.00,"$1,000.00"
157524,$230.00,"$1,550.00","$3,300.00"
158027,$39.00,$325.00,$900.00
159077,$49.00,$320.00,"$1,150.00"
160220,$65.00,,
160554,$60.00,,
160714,$88.00,,
161703,$87.00,,$879.00
162163,$59.00,,
162751,$60.00,$370.00,"$1,200.00"
163384,$40.00,,
164203,$85.00,,
164255,$69.00,$768.00,
165409,$80.00,$450.00,"$1,800.00"
166370,$110.00,$650.00,
166679,$100.00,$600.00,"$1,700.00"
167998,$300.00,,
168217,$70.00,$500.00,"$1,700.00"
168623,$95.00,$560.00,"$2,100.00"
168652,$65.00,,
168695,$25.00,$200.00,$650.00
168757,$120.00,$830.00,"$2,730.00"
169050,$59.00,$321.00,"$1,134.00"
170327,$38.00,$200.00,$800.00
170599,$35.00,,
170670,$46.00,$300.00,"$1,150.00"
171159,$60.00,$420.00,"$1,600.00"
171658,$70.00,$350.00,$995.00
171664,$85.00,$620.00,"$1,800.00"
172026,$55.00,$350.00,"$1,390.00"
173294,$60.00,$300.00,$720.00
173734,$79.00,$520.00,
174048,$60.00,$300.00,
174629,$130.00,$800.00,"$2,500.00"
175338,$130.00,,
177451,$100.00,$680.00,
177838,$150.00,,
177892,$56.00,$400.00,"$1,350.00"
178188,$69.00,,
178899,$100.00,$400.00,"$1,400.00"
179149,$80.00,$500.00,"$1,800.00"
179604,$79.00,$399.00,$999.00
179817,$88.00,$650.00,
179872,$45.00,$310.00,"$1,260.00"
180331,$90.00,,
180348,$82.00,$625.00,"$2,300.00"
180627,$220.00,"$1,535.00","$3,140.00"
180950,$59.00,$450.00,"$1,200.00"
182744,$130.00,,
182830,$79.00,$428.00,"$1,370.00"
183599,$300.00,"$2,100.00",
183876,$100.00,$600.00,"$1,300.00"
183913,$140.00,$750.00,"$2,500.00"
184031,$30.00,,
185068,$85.00,$350.00,"$1,300.00"
185575,$65.00,$395.00,"$1,480.00"
185842,$65.00,,"$2,200.00"
186896,$94.00,,
187570,$190.00,"$1,400.00","$4,500.00"
188478,$105.00,$574.00,"$2,000.00"
189378,$30.00,,
189436,$200.00,,"$3,400.00"
189589,$50.00,$350.00,"$1,300.00"
191531,$150.00,,
192162,$76.00,$450.00,"$1,500.00"
192311,$90.00,$590.00,"$2,450.00"
192540,$55.00,,
193620,$40.00,,
193627,$105.00,$760.00,"$2,700.00"
193632,$95.00,$660.00,"$2,400.00"
194621,$300.00,"$2,470.00","$8,232.00"
194778,$50.00,$350.00,"$1,040.00"
195564,$45.00,$350.00,"$1,100.00"
195927,$300.00,,
