id,room_type,minimum_nights,number_of_reviews,host_listings_count,availability_30,availability_60,availability_90,availability_365,neighbourhood
409039,Entire home/apt,2,99,1.0,0,0,0,0,Montmartre
409112,Entire home/apt,5,51,1.0,0,0,0,0,Porte de Clignancourt
412016,Entire home/apt,3,13,1.0,0,0,0,0,Buttes-Chaumont - Belleville
412350,Entire home/apt,4,14,1.0,0,0,0,0,Buttes-Chaumont - Belleville
414097,Entire home/apt,6,17,1.0,0,0,0,0,Le Marais
416091,Entire home/apt,3,4,1.0,0,0,0,0,Batignolles
419747,Entire home/apt,5,2,1.0,0,0,0,0,Bastille
419840,Entire home/apt,4,2,1.0,0,0,0,0,Montmartre
428594,Entire home/apt,1,21,1.0,0,0,0,0,Place d'Italie - Quartier Chinois
429716,Entire home/apt,3,25,1.0,0,0,0,0,Tour Eiffel - Champ de Mars
436362,Entire home/apt,2,31,1.0,0,0,0,0,Buttes-Chaumont - Belleville
440717,Entire home/apt,3,1,1.0,0,0,0,0,Republique
441972,Private room,2,8,1.0,0,0,0,0,Pere Lachaise - Menilmontant
449296,Entire home/apt,6,1,1.0,0,0,0,0,Gare de Lyon
455196,Entire home/apt,2,10,1.0,0,0,0,0,Buttes-Chaumont - Belleville
458673,Entire home/apt,2,0,1.0,0,0,0,0,Auteuil
458807,Entire home/apt,2,7,1.0,0,0,0,0,Saint-Paul - Ile Saint-Louis
461131,Entire home/apt,2,4,1.0,0,0,0,0,Montmartre
462105,Private room,2,0,1.0,0,0,0,0,Republique
462625,Entire home/apt,3,0,1.0,0,0,0,0,Invalides - Ecole Militaire
464235,Entire home/apt,1,10,1.0,0,0,0,0,Montmartre
466074,Entire home/apt,2,14,1.0,0,0,0,0,Vaugirard
466905,Entire home/apt,1,35,1.0,0,0,0,0,Le Marais
467782,Private room,1,52,1.0,0,0,0,0,Montmartre
468465,Entire home/apt,2,48,1.0,0,0,0,0,Pere Lachaise - Menilmontant
470192,Entire home/apt,3,13,1.0,0,0,0,0,Buttes-Chaumont - Belleville
471659,Entire home/apt,5,60,1.0,0,0,0,0,Champs-Elysees
475138,Entire home/apt,5,0,1.0,0,0,0,0,Opera - Grands Boulevards
476307,Entire home/apt,2,4,1.0,0,0,0,0,Batignolles
480074,Private room,1,8,1.0,0,0,0,0,La Villette
485571,Entire home/apt,7,0,1.0,0,0,0,0,III Arrondissement
489636,Entire home/apt,2,20,1.0,0,0,0,0,Republique
491512,Private room,1,0,1.0,0,0,0,0,Montmartre
493013,Entire home/apt,3,11,1.0,0,0,0,0,Alesia
493815,Entire home/apt,2,12,1.0,0,0,0,0,Le Marais
497746,Entire home/apt,4,36,1.0,0,0,0,0,Republique
500577,Entire home/apt,5,0,1.0,0,0,0,0,Commerce - Dupleix
503569,Private room,3,154,1.0,0,0,0,0,Port-Royal
505425,Entire home/apt,2,20,1.0,0,0,0,0,XI Arrondissement
507683,Entire home/apt,2,25,1.0,0,0,0,0,XI Arrondissement
508163,Entire home/apt,4,2,1.0,0,0,0,0,Champs-Elysees
514384,Entire home/apt,2,0,1.0,0,0,0,0,XI Arrondissement
